Author,Venue,Submissions
Scott Shenker,SIGCOMM,54
Scott Shenker,IMC,0
Scott Shenker,CoNext,2
Scott Shenker,ICN,2
Scott Shenker,E-Energy,0
Scott Shenker,SenSys,5
Scott Shenker,SoSR,0
Scott Shenker,LANC,0
Scott Shenker,HotNets,24
Scott Shenker,ANRW,0
Scott Shenker,ANCS,0
Jennifer Rexford,SIGCOMM,28
Jennifer Rexford,IMC,4
Jennifer Rexford,CoNext,18
Jennifer Rexford,ICN,0
Jennifer Rexford,E-Energy,0
Jennifer Rexford,SenSys,0
Jennifer Rexford,SoSR,11
Jennifer Rexford,LANC,0
Jennifer Rexford,HotNets,11
Jennifer Rexford,ANRW,1
Jennifer Rexford,ANCS,0
Nick Feamster,SIGCOMM,28
Nick Feamster,IMC,14
Nick Feamster,CoNext,5
Nick Feamster,ICN,0
Nick Feamster,E-Energy,0
Nick Feamster,SenSys,0
Nick Feamster,SoSR,5
Nick Feamster,LANC,0
Nick Feamster,HotNets,7
Nick Feamster,ANRW,3
Nick Feamster,ANCS,0
Hari Balakrishnan,SIGCOMM,21
Hari Balakrishnan,IMC,6
Hari Balakrishnan,CoNext,1
Hari Balakrishnan,ICN,0
Hari Balakrishnan,E-Energy,0
Hari Balakrishnan,SenSys,12
Hari Balakrishnan,SoSR,0
Hari Balakrishnan,LANC,0
Hari Balakrishnan,HotNets,12
Hari Balakrishnan,ANRW,3
Hari Balakrishnan,ANCS,2
Ramesh Govindan,SIGCOMM,18
Ramesh Govindan,IMC,6
Ramesh Govindan,CoNext,7
Ramesh Govindan,ICN,0
Ramesh Govindan,E-Energy,0
Ramesh Govindan,SenSys,19
Ramesh Govindan,SoSR,0
Ramesh Govindan,LANC,0
Ramesh Govindan,HotNets,3
Ramesh Govindan,ANRW,0
Ramesh Govindan,ANCS,0
Aditya Akella,SIGCOMM,19
Aditya Akella,IMC,13
Aditya Akella,CoNext,3
Aditya Akella,ICN,0
Aditya Akella,E-Energy,0
Aditya Akella,SenSys,0
Aditya Akella,SoSR,2
Aditya Akella,LANC,0
Aditya Akella,HotNets,12
Aditya Akella,ANRW,0
Aditya Akella,ANCS,2
Ion Stoica,SIGCOMM,32
